ClipID,status,pct_nan
1100011002.avi,ok,0.0
1100011003.avi,ok,0.0
1100011004.avi,ok,0.0
1100011005.avi,ok,0.0
1100011006.avi,ok,0.0
1100011007.avi,ok,0.0
1100011008.avi,ok,0.0
1100011009.avi,ok,0.0
1100011010.avi,ok,0.0
1100011011.avi,ok,0.0
1100011012.avi,ok,0.0
1100011013.avi,ok,0.0
1100011014.avi,ok,0.0
1100011015.avi,ok,0.0
1100011016.avi,ok,0.0
1100011017.avi,ok,0.0
1100011018.avi,ok,0.0
1100011019.avi,ok,0.0
1100011020.avi,ok,0.0
1100011021.avi,ok,0.0
1100011022.avi,ok,0.0
1100011023.avi,ok,0.0
1100011025.avi,ok,0.0
1100011026.avi,ok,0.0
1100011027.avi,ok,0.0
1100011028.avi,ok,0.0
1100011029.avi,ok,0.0
1100011031.avi,ok,0.0
1100011032.avi,ok,0.0
1100011034.avi,ok,0.0
1100011035.avi,ok,0.0
1100011037.avi,ok,0.0
1100011038.avi,ok,0.0
1100011040.avi,ok,0.0
1100011046.avi,ok,0.0
1100011047.avi,ok,0.0
1100011048.avi,ok,0.0
1100011049.avi,ok,0.0
1100011050.avi,ok,0.0
1100011051.avi,ok,0.0
1100011052.avi,ok,0.0
1100011053.avi,ok,0.0
1100011054.avi,ok,0.0
1100011055.avi,ok,0.0
1100011056.avi,ok,0.0
1100011057.avi,ok,0.0
1100011058.avi,ok,0.0
1100011059.avi,ok,0.0
1100011060.avi,ok,0.0
1100011062.avi,ok,0.0
1100011063.avi,ok,0.0
1100011064.avi,ok,0.0
1100011066.avi,ok,0.0
1100011067.avi,ok,0.0
1100011068.avi,ok,0.0
1100011069.avi,ok,0.0
1100011070.avi,ok,0.0
1100011071.avi,ok,0.0
1100011072.avi,ok,0.0
1100011073.avi,ok,0.0
1100011075.avi,ok,0.0
1100011076.avi,ok,0.0
1100011078.avi,ok,0.0
1100011079.avi,ok,0.0
1100011080.avi,ok,0.0
1100011081.avi,ok,0.0
1100011082.avi,ok,0.0
1100011083.avi,ok,0.0
1100012001.avi,ok,0.0
1100012003.avi,ok,0.0
1100012007.avi,ok,0.0
1100012008.avi,ok,0.0
1100012009.avi,ok,0.0
1100012010.avi,ok,0.0
1100012011.avi,ok,0.0
1100012013.avi,ok,0.0
1100012014.avi,ok,0.0
1100012015.avi,ok,0.0
1100012016.avi,ok,0.0
1100012017.avi,ok,0.0
1100012018.avi,ok,0.0
1100012021.avi,ok,0.0
1100012022.avi,ok,0.0
1100012023.avi,ok,0.0
1100012025.avi,ok,0.0
1100012026.avi,ok,0.0
1100012027.avi,ok,0.0
1100012028.avi,ok,0.0
1100012030.avi,ok,0.0
1100012031.avi,ok,0.0
1100012032.avi,ok,0.0
1100012033.avi,ok,0.0
1100012036.avi,ok,0.0
1100012037.avi,ok,0.0
1100012038.avi,ok,0.0
1100012041.avi,ok,0.0
1100012042.avi,ok,0.0
1100012045.avi,ok,0.0
1100012046.avi,ok,0.0
1100012047.avi,ok,0.0
1100012049.avi,ok,0.0
1100012050.avi,ok,0.0
1100012051.avi,ok,0.0
1100012052.avi,ok,0.0
1100012057.avi,ok,0.0
1100012059.avi,ok,0.0
1100012060.avi,ok,0.0
1100012061.avi,ok,0.0
1100012062.avi,ok,0.0
1100012063.avi,ok,0.0
1100012064.avi,ok,0.0
1100012065.avi,ok,0.0
1100012066.avi,ok,0.0
1100012069.avi,ok,0.0
1100021001.avi,ok,0.0
1100021003.avi,ok,0.0
1100021015.avi,ok,0.0
1100021038.avi,ok,0.0
1100021039.avi,ok,0.0
1100021040.avi,ok,0.0
1100021045.avi,ok,0.0
